idna_subject,checker_type,destination,tested_at
www.secure-verify-info.ddns.info,AVAILABILITY,domains.list,2021-12-23 07:40:29.942625
www.secure-verify-update.ddns.info,AVAILABILITY,domains.list,2021-12-23 07:40:30.607776
www.security-update.ddns.info,AVAILABILITY,domains.list,2021-12-23 07:40:31.063649
www.update-security.ddns.info,AVAILABILITY,domains.list,2021-12-23 07:40:31.614442
tracking.adalliance.com,AVAILABILITY,domains.list,2021-12-23 07:40:32.655721
accounts.you.tube-award.pro,AVAILABILITY,domains.list,2021-12-23 07:40:32.978784
copyright.you.tube-award.pro,AVAILABILITY,domains.list,2021-12-23 07:40:34.194252
bestellungdiskret.de,AVAILABILITY,domains.list,2021-12-23 07:40:35.126548
bestebestellung.de,AVAILABILITY,domains.list,2021-12-23 07:40:36.075506
you.tube-award.pro,AVAILABILITY,domains.list,2021-12-23 07:40:36.401586
secure-verify-account.ddns.info,AVAILABILITY,domains.list,2021-12-23 07:40:37.215391
secure-verify-info.ddns.info,AVAILABILITY,domains.list,2021-12-23 07:40:37.679543
secure-verify-update.ddns.info,AVAILABILITY,domains.list,2021-12-23 07:40:38.271284
security-update.ddns.info,AVAILABILITY,domains.list,2021-12-23 07:40:38.871302
update-security.ddns.info,AVAILABILITY,domains.list,2021-12-23 07:40:39.487656
www.secure-verify-account.ddns.info,AVAILABILITY,domains.list,2021-12-23 07:40:40.063400
