subject,idna_subject,expiration_date,epoch,registrar
aptina.com,aptina.com,12-jul-2021,1626048000.0,
aptina.com,aptina.com,12-jul-2021,1626048000.0,
data-cash.net,data-cash.net,16-jun-2021,1623801600.0,
data-cash.net,data-cash.net,16-jun-2021,1623801600.0,
directfilesdown.com,directfilesdown.com,02-mar-2021,1614643200.0,
directfilesdown.com,directfilesdown.com,02-mar-2021,1614643200.0,
doktor-rezeptfrei.com,doktor-rezeptfrei.com,15-may-2021,1621036800.0,
doktor-rezeptfrei.com,doktor-rezeptfrei.com,15-may-2021,1621036800.0,
downloadsrvs.com,downloadsrvs.com,09-jul-2021,1625788800.0,
downloadsrvs.com,downloadsrvs.com,09-jul-2021,1625788800.0,
feedtoday.net,feedtoday.net,03-apr-2021,1617408000.0,
feedtoday.net,feedtoday.net,03-apr-2021,1617408000.0,
findxxx.net,findxxx.net,31-jan-2021,1612051200.0,
findxxx.net,findxxx.net,31-jan-2021,1612051200.0,
getsafemask.com,getsafemask.com,28-jan-2021,1611792000.0,
getsafemask.com,getsafemask.com,28-jan-2021,1611792000.0,
kartenluchs.com,kartenluchs.com,29-mar-2021,1616976000.0,
kartenluchs.com,kartenluchs.com,29-mar-2021,1616976000.0,
kunden24.com,kunden24.com,25-feb-2021,1614211200.0,
kunden24.com,kunden24.com,25-feb-2021,1614211200.0,
lottoknacker.com,lottoknacker.com,30-aug-2021,1630281600.0,
lottoknacker.com,lottoknacker.com,30-aug-2021,1630281600.0,
lottoknacker.info,lottoknacker.info,05-jun-2021,1622851200.0,
lottoknacker.info,lottoknacker.info,05-jun-2021,1622851200.0,
maxdeals.ltd,maxdeals.ltd,01-may-2021,1619827200.0,
maxdeals.ltd,maxdeals.ltd,01-may-2021,1619827200.0,
mpmbooks.com,mpmbooks.com,28-may-2021,1622160000.0,
mpmbooks.com,mpmbooks.com,28-may-2021,1622160000.0,
pc-safety-scan.pro,pc-safety-scan.pro,06-aug-2021,1628208000.0,
pc-safety-scan.pro,pc-safety-scan.pro,06-aug-2021,1628208000.0,
radarnewsonline.com,radarnewsonline.com,12-mar-2021,1615507200.0,
radarnewsonline.com,radarnewsonline.com,12-mar-2021,1615507200.0,
schlank-21.com,schlank-21.com,15-mar-2021,1615766400.0,
schlank-21.com,schlank-21.com,15-mar-2021,1615766400.0,
schmoozecom.net,schmoozecom.net,19-jul-2021,1626652800.0,
schmoozecom.net,schmoozecom.net,19-jul-2021,1626652800.0,
tube-award.pro,tube-award.pro,07-mar-2021,1615075200.0,
tube-award.pro,tube-award.pro,07-mar-2021,1615075200.0,
uywbeucybwuec.club,uywbeucybwuec.club,20-may-2021,1621468800.0,
uywbeucybwuec.club,uywbeucybwuec.club,20-may-2021,1621468800.0,
wapp.chat,wapp.chat,13-jun-2021,1623542400.0,
wapp.chat,wapp.chat,13-jun-2021,1623542400.0,
codeyear.com,codeyear.com,23-dec-2021,1640217600.0,
codeyear.com,codeyear.com,23-dec-2021,1640217600.0,
dataf0ral1.com,dataf0ral1.com,09-sep-2021,1631145600.0,
dataf0ral1.com,dataf0ral1.com,09-sep-2021,1631145600.0,
f-spot.org,f-spot.org,28-oct-2021,1635379200.0,
f-spot.org,f-spot.org,28-oct-2021,1635379200.0,
https.com,https.com,28-mar-2022,1648425600.0,
https.com,https.com,28-mar-2022,1648425600.0,
lottoknacker.net,lottoknacker.net,12-nov-2023,1699747200.0,
lottoknacker.net,lottoknacker.net,12-nov-2023,1699747200.0,
mittechnik.com,mittechnik.com,06-oct-2021,1633478400.0,
mittechnik.com,mittechnik.com,06-oct-2021,1633478400.0,
officalstores.online,officalstores.online,09-jan-2022,1641686400.0,
officalstores.online,officalstores.online,09-jan-2022,1641686400.0,
querverdiener.com,querverdiener.com,23-oct-2021,1634947200.0,
querverdiener.com,querverdiener.com,23-oct-2021,1634947200.0,
sapphirum.com,sapphirum.com,11-jan-2022,1641859200.0,
sapphirum.com,sapphirum.com,11-jan-2022,1641859200.0,
sdkfjxjertertry.com,sdkfjxjertertry.com,15-jan-2022,1642204800.0,
sdkfjxjertertry.com,sdkfjxjertertry.com,15-jan-2022,1642204800.0,
thomecallex.com,thomecallex.com,21-jan-2022,1642723200.0,
thomecallex.com,thomecallex.com,21-jan-2022,1642723200.0,
traffik-way01.space,traffik-way01.space,12-jan-2022,1641945600.0,
traffik-way01.space,traffik-way01.space,12-jan-2022,1641945600.0,
book-your-test.com,book-your-test.com,26-may-2023,1685059200.0,"NICENIC INTERNATIONAL GROUP CO., LIMITED"
safkwesad.live,safkwesad.live,12-mar-2023,1678579200.0,"NameCheap, Inc."
vlaamsegegevensfk.info,vlaamsegegevensfk.info,08-apr-2023,1680912000.0,Registrar of Domain Names REG.RU LLC
mygov-portal.me,mygov-portal.me,08-dec-2023,1701993600.0
misogyny.wtf,misogyny.wtf,23-jul-2023,1690070400.0
